gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
96,0.0163262086915371,621,38,22,583.0,6.119162640901771,3.5426731078904994,93.88083735909822
97,0.0162808378994835,621,35,35,586.0,5.636070853462158,5.636070853462158,94.36392914653784
98,0.0158602429654241,611,25,35,586.0,4.091653027823241,5.728314238952537,95.90834697217676
99,0.0161489088575096,629,33,15,596.0,5.246422893481717,2.384737678855326,94.75357710651828
100,0.0158130812701147,624,22,27,602.0,3.5256410256410255,4.326923076923077,96.47435897435898
101,0.016131830008673,651,39,12,612.0,5.990783410138249,1.8433179723502304,94.00921658986175
102,0.0166780900159926,657,30,24,627.0,4.566210045662101,3.65296803652968,95.4337899543379
103,0.0167904592530599,642,27,42,615.0,4.205607476635514,6.542056074766355,95.79439252336448
104,0.0168657580382044,641,26,27,615.0,4.056162246489859,4.212168486739469,95.94383775351014
105,0.0165626685155226,645,32,28,613.0,4.961240310077519,4.341085271317829,95.03875968992249
106,0.0160900251715117,652,31,24,621.0,4.754601226993865,3.6809815950920246,95.24539877300613
107,0.0160358886658239,647,29,34,618.0,4.482225656877898,5.255023183925811,95.5177743431221
108,0.0155253399258343,628,26,45,602.0,4.140127388535032,7.165605095541402,95.85987261146497
109,0.0151518818830933,626,29,31,597.0,4.63258785942492,4.952076677316294,95.36741214057508
110,0.0150879534728512,633,30,23,603.0,4.739336492890995,3.6334913112164298,95.260663507109
111,0.0150981735699265,639,29,23,610.0,4.538341158059468,3.599374021909233,95.46165884194053
112,0.0150741725980779,629,21,31,608.0,3.338632750397456,4.92845786963434,96.66136724960255
113,0.0152780116930924,635,22,16,613.0,3.4645669291338583,2.5196850393700787,96.53543307086615
114,0.0150421324576864,623,24,36,599.0,3.852327447833066,5.778491171749598,96.14767255216694
115,0.0155700777266201,629,25,19,604.0,3.97456279809221,3.0206677265500796,96.02543720190779
116,0.0153211258556354,620,20,29,600.0,3.225806451612903,4.67741935483871,96.7741935483871
117,0.015849786685187,639,36,17,603.0,5.633802816901408,2.6604068857589986,94.36619718309859
118,0.0159583781485279,638,35,36,603.0,5.4858934169279,5.6426332288401255,94.5141065830721
119,0.0153137116242775,628,23,33,605.0,3.662420382165605,5.254777070063694,96.3375796178344
120,0.0155633440356854,635,32,25,603.0,5.039370078740157,3.937007874015748,94.96062992125984
121,0.0152896206997941,624,26,37,598.0,4.166666666666667,5.92948717948718,95.83333333333333
122,0.0146697482058143,603,26,47,577.0,4.311774461028192,7.794361525704809,95.6882255389718
123,0.0146725486850764,602,26,27,576.0,4.318936877076412,4.485049833887043,95.68106312292359
124,0.01555283720698,623,44,23,579.0,7.062600321027287,3.691813804173355,92.93739967897271
125,0.0149375796791186,621,29,31,592.0,4.669887278582931,4.99194847020934,95.33011272141707
126,0.0151683493551036,628,35,28,593.0,5.573248407643312,4.45859872611465,94.4267515923567
127,0.014779031949493,618,20,30,598.0,3.236245954692557,4.854368932038835,96.76375404530744
128,0.0156195679165631,629,38,27,591.0,6.041335453100159,4.292527821939586,93.95866454689984
129,0.0152955152955152,618,31,42,587.0,5.016181229773463,6.796116504854369,94.98381877022653
130,0.0155585932645706,626,31,23,595.0,4.952076677316294,3.6741214057507987,95.0479233226837
131,0.0165310942009971,630,31,27,599.0,4.920634920634921,4.285714285714286,95.07936507936508
132,0.014757997961066,608,23,45,585.0,3.7828947368421053,7.401315789473684,96.21710526315789
133,0.014301978084531,603,16,21,587.0,2.6533996683250414,3.482587064676617,97.34660033167496
134,0.0150675441634915,609,23,17,586.0,3.7766830870279144,2.7914614121510675,96.22331691297208
135,0.0146571653280583,615,30,24,585.0,4.878048780487805,3.902439024390244,95.1219512195122
136,0.0142346275311164,613,20,22,593.0,3.2626427406199023,3.5889070146818924,96.7373572593801
137,0.0140638802361802,605,21,29,584.0,3.4710743801652892,4.793388429752066,96.52892561983471
138,0.0149719427244582,619,34,20,585.0,5.4927302100161555,3.231017770597738,94.50726978998385
139,0.014612831594279,612,26,33,586.0,4.248366013071895,5.392156862745098,95.7516339869281
140,0.0145246798518482,600,22,34,578.0,3.6666666666666665,5.666666666666667,96.33333333333333
141,0.0144363972196568,594,31,37,563.0,5.218855218855219,6.228956228956229,94.78114478114477
142,0.0137750081994096,588,30,36,558.0,5.1020408163265305,6.122448979591836,94.89795918367346
143,0.0145363041141405,595,37,30,558.0,6.218487394957983,5.042016806722689,93.78151260504201
144,0.0143515021563802,589,32,38,557.0,5.432937181663837,6.451612903225806,94.56706281833617
145,0.0148181187431856,598,36,27,562.0,6.0200668896321075,4.51505016722408,93.9799331103679
146,0.0147705078125,605,25,18,580.0,4.132231404958677,2.975206611570248,95.86776859504133
147,0.0146486720138321,610,33,28,577.0,5.409836065573771,4.590163934426229,94.59016393442623
148,0.0141924430450083,613,29,26,584.0,4.730831973898858,4.241435562805873,95.26916802610114
149,0.0146635371548866,606,27,34,579.0,4.455445544554456,5.6105610561056105,95.54455445544555
150,0.014819524601389,606,29,29,577.0,4.785478547854786,4.785478547854786,95.21452145214522
151,0.0142763493335275,588,17,35,571.0,2.891156462585034,5.9523809523809526,97.10884353741497
152,0.0144836272040302,598,26,16,572.0,4.3478260869565215,2.6755852842809364,95.65217391304348
153,0.0145997610513739,611,33,20,578.0,5.400981996726678,3.2733224222585924,94.59901800327333
154,0.0144075061916555,605,23,29,582.0,3.8016528925619837,4.793388429752066,96.19834710743801
155,0.0141578861294769,606,21,20,585.0,3.4653465346534653,3.3003300330033003,96.53465346534654
156,0.0146208929105938,635,38,9,597.0,5.984251968503937,1.4173228346456692,94.01574803149606
157,0.0144760499746438,628,37,44,591.0,5.89171974522293,7.006369426751593,94.10828025477707
158,0.0143883203455074,613,20,35,593.0,3.2626427406199023,5.709624796084829,96.7373572593801
159,0.0144517675254643,603,22,32,581.0,3.648424543946932,5.306799336650083,96.35157545605307
160,0.013704030051477,591,21,33,570.0,3.553299492385787,5.583756345177665,96.44670050761421
161,0.0141000375375375,601,29,19,572.0,4.825291181364393,3.1613976705490847,95.17470881863561
162,0.0142823473957105,606,22,17,584.0,3.6303630363036303,2.8052805280528053,96.36963696369637
163,0.0141294653335211,602,27,31,575.0,4.485049833887043,5.149501661129568,95.51495016611295
164,0.0143891702560704,608,34,28,574.0,5.592105263157895,4.605263157894737,94.40789473684211
165,0.0142565245658029,614,30,24,584.0,4.88599348534202,3.9087947882736156,95.11400651465799
166,0.014319411021896,601,28,41,573.0,4.658901830282862,6.821963394342762,95.34109816971714
167,0.0144048877922688,613,46,34,567.0,7.504078303425775,5.5464926590538335,92.49592169657423
168,0.0143608602550972,617,27,23,590.0,4.376012965964343,3.727714748784441,95.62398703403565
169,0.0140754958413307,616,24,25,592.0,3.896103896103896,4.058441558441558,96.1038961038961
170,0.0136877468561311,603,12,25,591.0,1.9900497512437811,4.1459369817578775,98.00995024875621
171,0.0139721919302071,615,25,13,590.0,4.065040650406504,2.113821138211382,95.9349593495935
172,0.0138434091371016,613,19,21,594.0,3.099510603588907,3.4257748776508974,96.90048939641109
173,0.0137007733226051,613,21,21,592.0,3.4257748776508974,3.4257748776508974,96.5742251223491
174,0.0142268134656336,628,35,20,593.0,5.573248407643312,3.1847133757961785,94.4267515923567
175,0.0133229518124405,616,24,36,592.0,3.896103896103896,5.8441558441558445,96.1038961038961
176,0.0137390032574733,620,27,23,593.0,4.354838709677419,3.7096774193548385,95.64516129032258
177,0.0141353046594982,631,22,11,609.0,3.4865293185419968,1.7432646592709984,96.513470681458
178,0.013639813509704,629,25,27,604.0,3.97456279809221,4.292527821939586,96.02543720190779
179,0.0140505820955439,630,27,26,603.0,4.285714285714286,4.126984126984127,95.71428571428571
180,0.0142653674858137,631,24,23,607.0,3.803486529318542,3.6450079239302693,96.19651347068145
181,0.014686556152445,637,24,18,613.0,3.767660910518053,2.82574568288854,96.23233908948194
182,0.0139457129030838,634,33,36,601.0,5.205047318611987,5.678233438485805,94.79495268138801
183,0.0140113143007499,639,27,22,612.0,4.225352112676056,3.4428794992175273,95.77464788732394
