subsetID,Q_peak,Qpeak_reduction,cost,floodedArea
_010216,147.1768035888672,17.456741333007812,2071424.794743634,269775.369272634
_010217,155.06634521484375,9.56719970703125,1307673.2802269156,166208.76767946
_010218,160.4653778076172,4.1681671142578125,534113.282283783,56622.3936507
_010219,161.4384765625,3.195068359375,466949.57800126617,54581.4750278
_010220,155.84799194335938,8.785552978515625,1268246.664937022,164900.972756494
_010221,161.42355346679688,3.209991455078125,299799.9909200821,33001.0282567
_010222,157.7027587890625,6.9307861328125,1000315.7891654026,137253.812386394
_010223,153.67568969726562,10.957855224609375,1659678.6450304417,214595.0840884
_010224,154.86917114257812,9.764373779296875,1278608.8345308336,157677.479566764
_010225,156.10476684570312,8.528778076171875,1106670.4524752898,143033.57063446002
_010226,149.970458984375,14.6630859375,1980253.596658297,243994.60022803998
_010227,153.96109008789062,10.672454833984375,1228088.120667165,175987.40886940004
_010228,155.44473266601562,9.188812255859375,1205466.663159299,134994.34439369402
_010229,152.79769897460938,11.835845947265625,1352785.6451593991,193398.82471456
_010230,158.16555786132812,6.467987060546875,768674.267632823,119425.966474
_010231,160.17967224121094,4.4538726806640625,642453.6635770937,65287.07471899999
_010232,151.8853302001953,12.748214721679688,1580153.149555529,202281.51342709395
_010233,152.4814910888672,12.152053833007812,1912475.654034479,233332.01326965998
_010234,154.5166778564453,10.116867065429688,1312064.276329663,152332.73553601
_010235,152.1094512939453,12.524093627929688,1681369.730553237,236710.41092360002
_010236,156.51002502441406,8.123519897460938,1057980.889729306,139974.251160894
_010237,158.52853393554688,6.105010986328125,769586.8424384791,91923.7907731
_010238,163.78268432617188,0.850860595703125,428808.9333800139,51086.322359499994
_010239,157.87945556640625,6.75408935546875,973611.4424810652,133028.2849197
_010240,154.12220764160156,10.511337280273438,1244503.7210045347,177646.04418470003
_010241,162.62362670898438,2.009918212890625,578314.431815184,54301.1342996
_010242,155.9208221435547,8.712722778320312,1105863.5468969394,146476.65520476
_010243,152.34815979003906,12.285385131835938,1463564.741605936,217485.3313512
_010244,147.8560333251953,16.777511596679688,2102325.8934389325,273151.334283034
_010245,162.18101501464844,2.4525299072265625,474113.28830124286,48163.876965999996
_010246,157.34207153320312,7.291473388671875,922830.7549316185,119028.6548874
_010247,150.9120330810547,13.721511840820312,1858636.272494252,210918.87541295998
_010248,145.173583984375,19.4599609375,2923026.0762159023,373505.70701614994
_010249,157.63497924804688,6.998565673828125,1112564.6141305694,148216.11402343996
_010250,150.19314575195312,14.440399169921875,2074844.2757565216,255399.013644994
_010251,159.2006378173828,5.4329071044921875,761074.1301359215,76939.60156069999
_010252,152.81495666503906,11.818588256835938,1344618.910988828,198760.66993016
_010253,163.1163787841797,1.5171661376953125,133584.5668739363,14883.749583
_010254,156.8305206298828,7.8030242919921875,1287568.7337784118,150857.61291368998
_010255,149.6844940185547,14.949050903320312,1845950.1732897614,217478.76568786
_010256,157.88482666015625,6.74871826171875,766630.4507483487,91783.29928539999
_010257,146.1688690185547,18.464675903320312,2333556.6523849303,299164.6409046999
_010258,154.2178955078125,10.4156494140625,1260707.8890939872,167400.446047464
_010259,154.58628845214844,10.047256469726562,1374022.5666790705,187031.37393960997
_010260,152.31141662597656,12.322128295898438,1846253.5835396112,203286.41668206
_010261,155.8101043701172,8.823440551757812,1266164.9548376892,163846.446925
_010262,162.83038330078125,1.80316162109375,268349.5414206358,34016.40735279999
_010263,163.7396697998047,0.8938751220703125,107507.54253935792,13032.743672400002
_010264,163.23849487304688,1.395050048828125,199390.2630226977,25057.2956189
_010265,163.9313507080078,0.7021942138671875,73717.85049409643,12544.4635791
_010266,149.80386352539062,14.829681396484375,1811979.4004883717,208663.85511926
_010267,154.12025451660156,10.513290405273438,1356148.3018049814,158125.1466601
_010268,158.82916259765625,5.80438232421875,648109.5633237824,84678.0891191
_010269,154.84329223632812,9.790252685546875,1135762.2753811933,152654.35523738997
_010270,156.37265014648438,8.260894775390625,1400383.896004651,164105.66587029002
_010271,151.35765075683594,13.275894165039062,1637797.567700891,218268.69850913002
_010272,148.42283630371094,16.210708618164062,2339904.1379644717,284897.81318477995
_010273,155.26853942871094,9.365005493164062,1281892.7034223014,163422.27832256
_010274,163.4238739013672,1.2096710205078125,161906.3095254146,14675.276200100001
_010275,154.2898406982422,10.343704223632812,1390020.4713953405,175833.59867143998
_010276,152.93406677246094,11.699478149414062,1535786.4931289323,199017.63841524
_010277,155.51316833496094,9.120376586914062,1115867.434105313,156230.72246070002
_010278,157.6970672607422,6.9364776611328125,1085542.1063167118,143065.38533564
_010279,157.47406005859375,7.15948486328125,787987.085148315,95831.52306009
_010280,150.4380645751953,14.195480346679688,1924442.8672481186,235853.25291994
_010281,155.01495361328125,9.61859130859375,1481721.1224572097,187825.758
_010282,161.560546875,3.072998046875,601516.2455457816,90723.28603239999
_010283,160.7777862548828,3.8557586669921875,412575.6250231827,47771.706841269995
_010284,149.3994140625,15.234130859375,2089080.6011060488,261727.01901578
_010285,152.59622192382812,12.037322998046875,1832332.075265395,200055.04694116
_010286,157.93801879882812,6.695526123046875,834672.4218463842,93737.1908703
_010287,156.42233276367188,8.211212158203125,867029.2773296846,112220.42856156001
_010288,161.24740600585938,3.386138916015625,428609.04693944624,55478.577167200005
_010289,157.68814086914062,6.945404052734375,1083956.7673501126,126177.91363696
_010290,154.7631072998047,9.870437622070312,1292550.318055908,147390.6833157
_010291,161.16433715820312,3.469207763671875,221017.39509802905,29600.0751505
_010292,147.8430633544922,16.790481567382812,2093296.8024462478,271506.169347434
_010293,156.4696807861328,8.163864135742188,903329.6422155406,114279.18259886
_010294,149.9132537841797,14.720291137695312,2022743.35910149,236144.86267816
_010295,159.188232421875,5.4453125,598549.7864225237,74826.32734529999
_010296,163.1492156982422,1.4843292236328125,248514.58445459855,31847.148115099997
_010297,156.540283203125,8.09326171875,777192.8682249847,102041.3043209
_010298,161.6060333251953,3.0275115966796875,436076.53068124916,49281.7629765
_010299,163.6041717529297,1.0293731689453125,312107.7822148581,26939.7872056
_010300,155.12832641601562,9.505218505859375,1364715.6730763884,170027.44174552
_010301,150.10707092285156,14.526473999023438,1996001.7238261425,250245.30762772003
_010302,160.882080078125,3.75146484375,613808.1866449191,103169.63074636999
_010303,155.09054565429688,9.542999267578125,1109019.7884439204,151442.23233308998
_010304,154.97042846679688,9.663116455078125,1153471.1337340616,155712.42968389
_010305,154.73606872558594,9.897476196289062,1519934.4510040553,184754.88300439
_010306,152.85755920410156,11.775985717773438,1374761.9847771786,195171.71969136002
_010307,147.82110595703125,16.81243896484375,2085512.674855526,272105.58182223403
_010308,157.7820587158203,6.8514862060546875,808025.2448041624,86752.02262429401
_010309,147.840087890625,16.79345703125,2096154.6531605134,275965.37895563396
_010310,163.08982849121094,1.5437164306640625,429527.73671632836,40253.69259249
_010311,156.1571502685547,8.476394653320312,1212375.3583125137,158161.46793080002
_010312,153.13174438476562,11.501800537109375,1344127.2501088162,193443.60617106
_010313,161.99542236328125,2.63812255859375,254738.63060588142,32565.831519
_010314,150.8222198486328,13.811325073242188,2029815.0952464226,261225.46449773398
_010315,154.0517120361328,10.581832885742188,1241435.4038779538,140673.198434594
_010316,162.3817596435547,2.2517852783203125,200377.9888591345,24654.578659
_010317,148.98521423339844,15.648330688476562,2297213.4745818623,271380.22494087997
_010318,149.21669006347656,15.416854858398438,1947477.4960417284,222004.84287896
_010319,147.90853881835938,16.725006103515625,2083030.0026625635,273273.87237483397
_010320,151.34913635253906,13.284408569335938,1636643.2203083015,217871.60980123
_010321,154.14535522460938,10.488189697265625,1307756.214742091,162274.43431434
_010322,161.4516143798828,3.1819305419921875,639642.5943753748,91798.54513915999
_010323,159.9512939453125,4.6822509765625,553326.8370113696,56530.92897506
_010324,156.7093048095703,7.9242401123046875,956174.947075274,121465.1942041
_010325,154.06405639648438,10.569488525390625,1370452.1500648626,186114.69045903
_010326,158.20289611816406,6.4306488037109375,598434.8021661566,91751.9375851
_010327,144.95556640625,19.677978515625,2857068.9599753004,361431.2987855499
_010328,153.7985382080078,10.835006713867188,1546696.9100388216,208475.33211309998
_010329,151.4965057373047,13.137039184570312,1623990.762145065,221910.39953703
_010330,153.9463653564453,10.687179565429688,1851386.174067602,193791.59856769
_010331,154.1982421875,10.435302734375,1735103.5580275569,186242.468300204
_010332,163.68959045410156,0.9439544677734375,76144.72804308019,7939.103894999999
_010333,161.39112854003906,3.2424163818359375,629945.6395138083,107678.33890767
_010334,148.60464477539062,16.028900146484375,2133553.9960672082,283066.1357777
_010335,151.1189727783203,13.514572143554688,1882787.8132640577,239994.33018378398
_010336,151.32534790039062,13.308197021484375,1631437.8501082698,219671.62191053
_010337,162.9888916015625,1.6446533203125,150875.83385148225,16658.5024145
_010338,159.10903930664062,5.524505615234375,466430.21154360345,49538.209439
_010339,151.60154724121094,13.031997680664062,1850860.323711975,245411.58759484
_010340,150.63681030273438,13.996734619140625,1678227.2272947289,182457.82628655998
_010341,152.20654296875,12.427001953125,1524800.5752888396,175691.29467305
_010342,156.17288208007812,8.460662841796875,1546973.6373319526,191666.83381686
_010343,162.4879150390625,2.1456298828125,144382.97125275657,15033.6187389
_010344,163.72853088378906,0.9050140380859375,139032.0421241621,15641.9356555
_010345,148.6929473876953,15.940597534179688,2094280.9881815193,279388.28520269995
_010346,161.4117431640625,3.2218017578125,420484.19399546244,48447.1748796
_010347,160.82833862304688,3.805206298828125,432545.69640312594,49966.8803634
_010348,156.96194458007812,7.671600341796875,1240199.087465462,147607.16747345997
_010349,157.46316528320312,7.170379638671875,817701.9087485343,123188.3154546
_010350,157.9276123046875,6.7059326171875,729574.355793605,90876.37503060003
_010351,153.41433715820312,11.219207763671875,2031505.5468329396,266570.71164007
_010352,162.93101501464844,1.7025299072265625,136641.53260447743,15902.720417089999
_010353,156.72860717773438,7.904937744140625,1306336.5761617818,158430.03037989998
_010354,163.97662353515625,0.65692138671875,54201.42736659365,3675.5347867
_010355,164.24868774414062,0.384857177734375,117464.53192342991,16714.8433453
_010356,145.1207275390625,19.5128173828125,2967993.775786455,376890.94902234996
_010357,152.67861938476562,11.954925537109375,1416003.25192086,196696.61868595998
_010358,153.58006286621094,11.053482055664062,1273877.7849708053,154782.8598984
_010359,160.4974365234375,4.1361083984375,448239.5145972168,49763.25831840001
_010360,148.11354064941406,16.520004272460938,2083850.7317477067,268918.128652534
_010361,153.8537139892578,10.779830932617188,1608739.3239421502,211822.87883139998
_010362,154.1044464111328,10.529098510742188,1212444.5200419212,175523.35426780002
_010363,163.190185546875,1.443359375,91098.0004470518,12815.034382
_010364,150.16014099121094,14.473403930664062,1951509.118213707,237960.62013004
_010365,148.70513916015625,15.92840576171875,2637297.12565742,311538.14112288994
_010366,154.82896423339844,9.804580688476562,1382495.7430272214,173117.41242984004
_010367,162.67025756835938,1.963287353515625,260041.81926371375,28255.37561239
_010368,154.5794219970703,10.054122924804688,1579257.2817227878,218520.2861885
_010369,156.8657989501953,7.7677459716796875,808172.3060679622,97664.12366560001
_010370,154.18130493164062,10.452239990234375,1612654.1126691012,209270.93091439997
_010371,153.0318145751953,11.601730346679688,1493735.356456261,200748.49994026002
_010372,155.7133026123047,8.920242309570312,1116319.0621591522,128367.78825869401
_010373,154.6173553466797,10.016189575195312,1213620.9764631174,174440.272108
_010374,161.8765869140625,2.7569580078125,462774.6525570305,81286.00903407
_010375,163.04672241210938,1.586822509765625,212876.68163439175,21592.995984899997
_010376,153.17718505859375,11.45635986328125,2297722.92316119,255457.80420052
_010377,152.98208618164062,11.651458740234375,1741779.484569345,198099.059624144
_010378,147.7041778564453,16.929367065429688,2096826.0563930983,274198.19184483396
_010379,154.4380645751953,10.195480346679688,1201045.949679193,135888.33737229402
_010380,156.4188995361328,8.214645385742188,1145287.3715571878,127913.72887879999
_010381,155.87684631347656,8.756698608398438,1243089.9125143052,161655.4483847
_010382,162.7775115966797,1.8560333251953125,146574.73703341236,20072.5015719
_010383,158.9390869140625,5.6944580078125,687445.0395321557,109820.8261846
_010384,149.96221923828125,14.67132568359375,1945938.94208259,238151.85364533996
_010385,160.9036865234375,3.7298583984375,395483.3739845995,45094.4286246
_010386,163.1514129638672,1.4821319580078125,122338.21503730763,14880.2674068
_010387,163.4114990234375,1.2220458984375,130425.21767960367,13615.763146500001
