damID	flooded_list
401351	[401347, 401348, 401349, 401350]
401352	[401351]
401353	[200203, 401351, 401352]
401354	[401351, 401352, 401353]
401355	[401352, 401353, 401354]
401357	[401355]
401358	[301004]
401359	[401358]
401360	[401359]
401361	[401360]
401362	[401361]
401363	[401362]
401364	[401363]
401365	[200338, 401364]
401366	[401365]
401367	[401366]
401369	[]
401370	[401369]
401371	[401370]
401372	[]
401374	[]
401375	[]
401376	[]
401378	[]
401380	[]
401383	[401380]
401384	[401380, 401383]
401393	[301051, 301096, 301097]
401394	[301097, 401393]
401395	[401393, 401394]
401396	[401394, 401395]
401397	[401395, 401396]
401398	[401396, 401397]
401399	[401397, 401398]
401400	[401398, 401399]
401401	[401399, 401400]
401402	[401399, 401400, 401401]
401403	[401400, 401401, 401402]
401404	[401401, 401402, 401403]
401405	[]
401406	[401405]
401407	[401406]
401408	[401407]
401409	[401408]
401412	[300997, 300998, 301066]
401413	[300997, 300998, 401412]
401414	[300997, 300998, 401412, 401413]
401415	[401414]
401416	[401415]
401417	[401415, 401416]
401418	[301110, 301129]
401420	[301129, 401418]
401421	[401418, 401420]
401422	[401420, 401421]
401423	[401420, 401421, 401422]
401424	[401421, 401422, 401423]
401425	[401422, 401423, 401424]
401439	[301150]
401440	[401439]
401441	[401439, 401440]
401442	[401439, 401440, 401441]
401443	[401442]
401445	[]
401446	[401445]
401447	[301105, 301106, 301116]
401448	[301106, 301116, 401447]
401449	[301106, 401447, 401448]
401450	[401448, 401449]
401451	[401450]
401455	[401451]
401456	[401455]
401457	[401455, 401456]
401459	[401457]
401463	[401459]
401464	[401463]
401466	[301168, 401463, 401464]
401467	[301168, 401463, 401464, 401466]
401468	[401466, 401467]
401469	[401466, 401467, 401468]
401470	[401466, 401467, 401468, 401469]
401472	[]
401473	[401468, 401469, 401470, 401472]
401476	[401473]
401477	[200806, 401472, 401473, 401476]
401481	[401476, 401477]
401482	[401481]
401483	[401481, 401482]
401484	[401482, 401483]
401485	[]
401486	[]
401487	[401486]
501493	[401243, 401244, 401251, 401252, 401253]
501494	[401243, 401244, 401252, 401253, 501493]
501495	[401244, 401253, 501493, 501494]
501496	[401244, 401253, 501493, 501494, 501495]
501497	[501494, 501495, 501496]
501498	[501495, 501496, 501497]
501499	[501495, 501496, 501497, 501498]
501500	[300892, 401254, 401255, 401258, 401259, 401260]
501502	[]
501503	[501502]
501504	[501502, 501503]
501507	[401357, 501503, 501504]
501508	[401357, 501503, 501504, 501507]
501509	[401357, 501507, 501508]
501510	[200122, 501507, 501508, 501509]
501511	[501507, 501508, 501509, 501510]
601513	[501498, 501499, 501508, 501509, 501510, 501511]
601514	[501497, 501498, 501499, 501508, 501509, 501510, 501511, 601513]
601515	[501497, 501498, 501499, 501509, 501510, 501511, 601513, 601514]
601516	[501498, 501499, 501510, 501511, 601513, 601514, 601515]
601517	[501498, 501499, 501510, 501511, 601513, 601514, 601515, 601516]
601518	[501499, 501511, 601513, 601514, 601515, 601516, 601517]
601519	[601513, 601514, 601515, 601516, 601517, 601518]
601520	[601513, 601514, 601515, 601516, 601517, 601518, 601519]
601521	[601514, 601515, 601516, 601517, 601518, 601519, 601520]
601522	[601514, 601515, 601516, 601517, 601518, 601519, 601520, 601521]
601523	[601515, 601516, 601517, 601518, 601519, 601520, 601521, 601522]
601524	[601518, 601519, 601520, 601521, 601522, 601523]
601525	[601520, 601521, 601522, 601523, 601524]
601526	[601520, 601521, 601522, 601523, 601524, 601525]
601527	[601523, 601524, 601525, 601526]
601528	[601524, 601525, 601526, 601527]
601529	[601524, 601525, 601526, 601527, 601528]
601530	[601525, 601526, 601527, 601528, 601529]
601531	[601527, 601528, 601529, 601530]
601532	[601528, 601529, 601530, 601531]
601533	[601529, 601530, 601531, 601532]
601534	[601530, 601531, 601532, 601533]
601535	[200208, 200209, 200210, 601531, 601532, 601533, 601534]
601536	[200209, 200210, 601532, 601533, 601534, 601535]
601538	[200209, 200210, 601534, 601535, 601536]
601539	[200209, 200210, 601534, 601535, 601536, 601538]
601540	[200209, 200210, 601536, 601538, 601539]
601541	[601538, 601539, 601540]
601542	[601538, 601539, 601540, 601541]
601543	[200251, 601538, 601539, 601540, 601541, 601542]
601544	[200251, 200253, 200254, 601539, 601540, 601541, 601542, 601543]
601545	[200253, 200254, 601544]
601546	[200253, 200254, 401274, 601541, 601542, 601543, 601544, 601545]
601547	[200253, 200254, 401274, 601542, 601543, 601544, 601545, 601546]
601548	[200253, 200254, 401274, 601543, 601544, 601545, 601546, 601547]
601549	[200253, 200254, 200272, 401274, 601544, 601545, 601546, 601547, 601548]
601550	[200253, 200254, 200272, 401274, 601544, 601545, 601546, 601547, 601548, 601549]
601551	[200272, 401274, 601546, 601547, 601548, 601549, 601550]
601552	[200272, 601546, 601547, 601548, 601549, 601550, 601551]
601553	[200272, 601550, 601551, 601552]
601554	[200272, 601547, 601548, 601549, 601550, 601551, 601552, 601553]
601555	[601553, 601554]
601556	[601555]
601558	[200272, 401294, 401295, 401296, 401297, 601549, 601550, 601551, 601552, 601553, 601554, 601555, 601556]
601559	[200302, 401295, 401296, 401297, 601551, 601552, 601553, 601554, 601555, 601556, 601558]
601560	[401297, 601553, 601554, 601555, 601556, 601558, 601559]
