damID	depth	storage	outflow_rect
200046	2.6	2933.31	0.54
200046	2.652352244	3801.52	0.54
200048	0.0	0.0	0.0
200048	0.1	56.28	0.0
200048	0.2	112.56	0.02
200048	0.3	168.85	0.06
200048	0.4	225.13	0.15
200048	0.5	281.41	0.19
200048	0.6	337.69	0.22
200048	0.7	393.97	0.25
200048	0.8	450.25	0.27
200048	0.9	506.54	0.29
200048	1.0	562.82	0.31
200048	1.1	588.85	0.33
200048	1.139338814	823.13	0.34
200050	0.0	0.0	0.0
200050	0.1	38.6	0.0
200050	0.2	77.19	0.02
200050	0.3	115.79	0.06
200050	0.4	154.38	0.15
200050	0.5	192.98	0.19
200050	0.6	231.57	0.22
200050	0.7	270.17	0.25
200050	0.8	308.77	0.27
200050	0.9	347.36	0.29
200050	1.0	385.96	0.31
200050	1.018456878	393.56	0.31
200051	0.0	0.0	0.0
200051	0.1	70.26	0.0
200051	0.2	140.52	0.02
200051	0.3	210.79	0.06
200051	0.4	281.05	0.15
200051	0.5	351.31	0.19
200051	0.6	421.57	0.22
200051	0.7	491.83	0.25
200051	0.8	562.1	0.27
200051	0.9	632.36	0.29
200051	1.0	702.62	0.31
200051	1.1	762.81	0.33
200051	1.2	823.0	0.35
200051	1.234441721	1304.55	0.35
200052	0.0	0.0	0.0
200052	0.1	39.8	0.0
200052	0.2	79.61	0.02
200052	0.3	119.41	0.06
200052	0.4	159.22	0.15
200052	0.5	199.02	0.19
200052	0.6	238.83	0.22
200052	0.7	278.63	0.25
200052	0.8	318.43	0.27
200052	0.9	358.24	0.29
200052	0.999427547	398.04	0.31
200054	0.0	0.0	0.0
200054	0.1	16.18	0.0
200054	0.2	32.35	0.02
200054	0.3	48.53	0.06
200054	0.4	64.7	0.15
200054	0.5	80.88	0.19
200054	0.6	97.05	0.22
200054	0.7	113.23	0.25
200054	0.8	129.4	0.27
200054	0.9	145.58	0.29
200054	1.0	161.75	0.31
200054	1.1	261.18	0.33
200054	1.2	360.6	0.35
200054	1.3	460.03	0.36
200054	1.4	559.45	0.38
200054	1.5	658.88	0.4
200054	1.6	758.3	0.41
200054	1.7	857.73	0.43
200054	1.8	957.15	0.44
200054	1.9	1056.58	0.45
200054	2.0	1156.0	0.47
200054	2.1	1419.2	0.48
200054	2.2	1682.4	0.49
200054	2.3	1945.6	0.5
200054	2.4	2208.8	0.51
200054	2.5	2472.0	0.53
200054	2.6	2735.2	0.54
200054	2.7	2998.4	0.55
200054	2.8	3261.6	0.56
200054	2.9	3524.8	0.57
200054	3.0	3788.0	0.58
200054	3.1	4221.6	0.59
200054	3.2	4655.2	0.6
200054	3.3	5088.8	0.61
200054	3.4	5522.4	0.62
200054	3.5	5956.0	0.63
200054	3.6	6389.6	0.64
200054	3.7	6823.2	0.65
200054	3.8	7256.8	0.66
200054	3.9	7690.4	0.67
200054	4.0	8124.0	0.68
200054	4.1	8614.75	0.69
200054	4.2	9105.49	0.69
200054	4.3	9596.24	0.7
200054	4.4	10086.99	0.71
200054	4.5	10577.74	0.72
200054	4.6	11068.48	0.73
200054	4.7	11559.23	0.74
200054	4.8	12049.98	0.74
200054	4.822571903	13031.47	0.75
200055	0.0	0.0	0.0
200055	0.1	4.12	0.0
200055	0.2	8.25	0.02
200055	0.3	12.37	0.06
200055	0.4	16.49	0.15
200055	0.5	20.62	0.19
200055	0.6	24.74	0.22
200055	0.7	28.86	0.25
200055	0.8	32.99	0.27
200055	0.9	37.11	0.29
200055	1.0	41.23	0.31
200055	1.1	69.31	0.33
200055	1.2	97.39	0.35
200055	1.3	125.46	0.36
200055	1.4	153.54	0.38
200055	1.5	181.62	0.4
200055	1.6	209.69	0.41
200055	1.7	237.77	0.43
200055	1.8	265.85	0.44
200055	1.9	293.92	0.45
200055	2.0	322.0	0.47
200055	2.1	396.4	0.48
200055	2.2	470.8	0.49
200055	2.3	545.2	0.5
200055	2.4	619.6	0.51
200055	2.5	694.0	0.53
200055	2.6	768.4	0.54
200055	2.7	842.8	0.55
200055	2.8	917.2	0.56
200055	2.9	991.6	0.57
200055	3.0	1066.0	0.58
200055	3.1	1130.33	0.59
200055	3.2	1194.66	0.6
200055	3.3	1258.99	0.61
200055	3.4	1323.32	0.62
200055	3.463545214	1709.31	0.63
200056	0.0	0.0	0.0
200056	0.1	17.14	0.0
200056	0.2	34.28	0.02
200056	0.3	51.42	0.06
200056	0.4	68.56	0.15
200056	0.5	85.7	0.19
200056	0.6	102.84	0.22
200056	0.7	119.98	0.25
200056	0.8	137.12	0.27
200056	0.9	154.25	0.29
200056	1.0	171.39	0.31
200056	1.1	278.15	0.33
200056	1.2	384.92	0.35
200056	1.3	491.68	0.36
200056	1.4	598.44	0.38
200056	1.5	705.2	0.4
200056	1.6	811.96	0.41
200056	1.7	918.72	0.43
200056	1.8	1025.48	0.44
200056	1.9	1132.24	0.45
200056	2.0	1239.0	0.47
200056	2.1	1438.3	0.48
200056	2.2	1637.6	0.49
200056	2.3	1836.9	0.5
200056	2.4	2036.2	0.51
200056	2.5	2235.5	0.53
200056	2.6	2434.8	0.54
200056	2.7	2634.1	0.55
200056	2.8	2833.4	0.56
200056	2.9	3032.7	0.57
200056	3.0	3232.0	0.58
200056	3.1	3576.6	0.59
200056	3.2	3921.2	0.6
200056	3.3	4265.8	0.61
200056	3.4	4610.4	0.62
200056	3.5	4955.0	0.63
200056	3.6	5299.6	0.64
200056	3.7	5644.2	0.65
200056	3.8	5988.8	0.66
200056	3.9	6333.4	0.67
200056	4.0	6678.0	0.68
200056	4.1	6901.76	0.69
200056	4.2	7125.53	0.69
200056	4.3	7349.29	0.7
200056	4.4	7573.06	0.71
200056	4.473683179	8915.64	0.72
200057	0.0	0.0	0.0
200057	0.1	37.68	0.0
200057	0.2	75.35	0.02
200057	0.3	113.03	0.06
200057	0.4	150.71	0.15
200057	0.5	188.39	0.19
200057	0.6	226.06	0.22
200057	0.7	263.74	0.25
200057	0.8	301.42	0.27
200057	0.9	339.1	0.29
200057	1.0	376.77	0.31
200057	1.1	562.6	0.33
200057	1.2	748.42	0.35
200057	1.3	934.24	0.36
200057	1.4	1120.06	0.38
200057	1.5	1305.89	0.4
200057	1.6	1491.71	0.41
